Company,Location
GACC WEST - Representative of German Business,"San Francisco, California, United States"
Auswärtiges Amt (Federal Foreign Office) Germany,San Francisco Bay Area
California Public Utilities Commission,San Francisco Bay Area
Oekobit America,United States
,
BEKON GmbH,"Coral Springs, Florida, United States"
"Putzmeister America, Inc.","Winchester, Massachusetts, United States"
Gemeinde Wildpoldsried,"Wildpoldsried, Bavaria, Germany"
SUMA Rührtechnik GmbH,"Green Bay, Wisconsin, United States"
UC Davis Policy Institute for Energy Environment and the Economy,"Davis, California, United States"
Stela Laxhuber GmbH,"Massing, Bavaria, Germany"
TerraNova Energy,"Düsseldorf, North Rhine-Westphalia, Germany"
,
U.S. Forest Service,"Oakland, California, United States"
"University of California, Berkeley","Berkeley, California, United States"
The Watershed Research and Training Center,"Grass Valley, California, United States"
Restoration Soil & Research,San Francisco Bay Area
California Biomass Collaborative,"Davis, California, United States"
Carbon Direct,San Francisco Bay Area
